id,p,c,d,matchTerms,sourceKind,sourceUrl,evidence,retrievedAt
ZONE-ZJ-HANGZHOU-XIASHA-HEP,浙江省,杭州市,钱塘区,['下沙高教园区'],government-district-mapping,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web3176/site/attach/0/ead79767e76242c89b21ef5886cd548a.pdf,浙江省地方志政府资料明确杭州下沙高教园区位于钱塘区下沙区块。,2026-09-10
ZONE-HA-ZHENGZHOU-XINZHENG-LONGHU,河南省,郑州市,新郑市,['新郑龙湖大学城'],government-district-mapping,https://xcoss.henan.gov.cn/typtfile/20250402/ab5ed0f00205414eba3ce7397b14fc71.pdf,河南省政府公开招生资料将河南工业贸易职业学院地址明确写为郑州市新郑市龙湖大学城祥云路76号。,2026-09-10
ZONE-ZJ-HANGZHOU-XIAOSHAN-HEP,浙江省,杭州市,萧山区,['萧山高教园区'],government-district-mapping,https://www.ccgp.gov.cn/cggg/dfgg/gkzb/202606/t20260624_26808284.htm,中国政府采购网公开浙江旅游职业学院地址为杭州市萧山区萧山高教园区学知路333号。,2026-09-10
ZONE-ZJ-NINGBO-SOUTH-HEP,浙江省,宁波市,鄞州区,"['高教园区（南区）', '宁波高教园区南区']",government-district-mapping,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web3597/site/attach/0/df89a02a8d7b44a09f9f013f75293c39.pdf,鄞州区政府规划资料在鄞州区功能板块中明确列出“宁波高教园区南区”。,2026-09-10
ZONE-HLJ-HARBIN-BINXI-UNIVERSITY-TOWN,黑龙江省,哈尔滨市,宾县,"['宾西开发区大学城', '宾西技术开发区大学城']",government-district-mapping,https://www.mee.gov.cn/ywdt/gs/wqgs_1/201802/W020180224378099948531.pdf,生态环境部公开表将宾西经济技术开发区对应的法定县级单位明确列为哈尔滨市宾县。,2026-09-10
ZONE-JS-HUAIAN-HEP,江苏省,淮安市,清江浦区,"['淮安市高教园区', '淮安高教园区']",government-district-mapping,https://hadz.huaian.gov.cn/upload/2026-01/64efb810-fd07-4bcc-8642-e4e119e23010.pdf,淮安经济技术开发区政府公开材料明确科教片区（即高教园区）范围位于清江浦区境内。,2026-09-10
ZONE-SD-QINGDAO-WEST-COAST,山东省,青岛市,黄岛区,['西海岸新区'],government-district-mapping,https://www.qingdao.gov.cn/yfqd/qdgk/xzqh/202009/t20200903_68.shtml,青岛市人民政府行政区划说明明确：2014年设立青岛西海岸新区，范围包括青岛市黄岛区全部行政区域。,2026-09-10
ZONE-GX-NANNING-ASEAN-ETDZ,广西壮族自治区,南宁市,武鸣区,"['广西-东盟经济技术开发区', '广西东盟经济技术开发区', '东盟经济技术开发区']",government-district-mapping,https://yqb.gxzf.gov.cn/ztzl/ywzt/gxcyyq/xzyq/nnscyyq/t21145321.shtml,广西自治区园区办2025年园区资料将广西—东盟经济技术开发区园区地址明确列为南宁市武鸣区武华大道37号。,2026-09-10
ZONE-HE-SHIJIAZHUANG-LINGSHOU-EDZ,河北省,石家庄市,灵寿县,"['石家庄灵寿经济开发区', '灵寿经济开发区']",government-district-mapping,https://www.lingshou.gov.cn/columns/c262893d-9ff2-466a-8591-932d7111acc6/202103/15/35e311a4-81ce-4878-99fd-4c75bdb9d908.html,灵寿县人民政府县情简介明确灵寿县拥有河北灵寿经济开发区。,2026-09-10
ZONE-HLJ-HARBIN-LIMIN,黑龙江省,哈尔滨市,呼兰区,"['利民经济开发区', '利民经济技术开发区', '利民开发区']",government-district-mapping,https://hrbggzy.harbin.gov.cn/zbgg/20250717/4e585111-5837-4632-9e9e-1f5f551bf19e.html,哈尔滨市公共资源交易中心项目公告将利民开发区项目地址明确写为“呼兰区利民开发区”。,2026-09-10
ZONE-HE-LANGFANG-GUAN-HIDZ,河北省,廊坊市,固安县,"['固安高新技术产业开发区', '固安高新区']",government-district-mapping,https://www.lf.gov.cn/Item/139689.aspx?sourceid=138637&sourcenodeid=1002,廊坊市人民政府招商资料明确固安高新区隶属河北省廊坊市固安县。,2026-09-10
ZONE-XJ-BAYINGOL-KORLA-ETDZ,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,['库尔勒经济技术开发区'],government-district-mapping,https://www.xjkel.gov.cn/xjkrls/uploads/202206161414381mchqrqknpk.pdf,库尔勒市人民政府公开环评资料在库尔勒市自然环境章节明确项目所在地位于新疆巴州库尔勒经济技术开发区。,2026-09-10
ZONE-HN-CHANGSHA-LIUYANG-ETDZ,湖南省,长沙市,浏阳市,"['浏阳经济开发区', '浏阳经济技术开发区']",government-district-mapping,https://sthjt.hunan.gov.cn/sthjt/sthjswzx/c101079/c101080/202012/14059357/files/fce436cb2ddd42e0877f931b357090b1.pdf,湖南省生态环境厅环境管控单元表将“浏阳经济技术开发区”的行政区划明确列为湖南省—长沙市—浏阳市。,2026-09-10
ZONE-SC-YIBIN-LINGANG-UNIVERSITY-ROAD,四川省,宜宾市,翠屏区,"['临港经济技术开发区大学城路三段', '临港经济技术开发区大学路三段']",government-district-mapping,https://czt.sc.gov.cn/scczt/uploadfiles/202010101052491070.pdf,四川省财政厅政府和社会资本合作项目资料将宜宾市临港开发区项目所在市县明确列为宜宾市翠屏区；本规则只匹配临港大学城路三段/大学路三段高校地址，不泛化到后续三江新区其他片区。,2026-09-10
ZONE-GZ-QIANDONGNAN-DANZHAI-JINZHONG,贵州省,黔东南苗族侗族自治州,丹寨县,"['丹寨金钟经济开发区', '金钟经济开发区']",government-district-mapping,https://www.qdndz.gov.cn/zwgk/zdlygk/sthj/hjzfjg/202309/P020230925619271486988.pdf,丹寨县政府公开环评明确贵州丹寨金钟经济开发区位于黔东南州丹寨县城东部，并列出园区四至均为丹寨县乡镇村。,2026-09-10
ZONE-ZJ-NINGBO-ETDZ-BEILUN,浙江省,宁波市,北仑区,['宁波经济技术开发区'],government-district-mapping,https://qf.ningbo.gov.cn/qfpt/zyq/yqsj/art/2024/art_c95de0c8d1a74bab85630547a88938cf.html,宁波市政府园区页面标题直接标注“宁波经济技术开发区（北仑区）”，园区地址亦为北仑区。,2026-09-10
ZONE-CQ-DAZU-SHUANGQIAO-ETDZ,重庆市,重庆市,大足区,"['双桥经济开发区', '双桥经济技术开发区']",government-district-mapping,https://cq.gov.cn/zwgk/zfxxgkzl/fdzdgknr/ghxx/qygh/202503/t20250318_14416729.html,重庆市政府2025年关于双桥经济技术开发区规划范围的批复直接发给大足区人民政府；大足区规划自然资源局负责其辖区规划管理。,2026-09-10
ZONE-FJ-NINGDE-DONGQIAO,福建省,宁德市,蕉城区,"['东侨经济开发区', '东侨经济技术开发区']",government-district-mapping,https://czt.fj.gov.cn/zwgk/czzj/202511/P020251120538850886604.pdf,福建省财政厅2026年提前下达资金表按法定区划统计时明确写作“蕉城区（含东侨经济开发区）”。,2026-09-10
ZONE-HLJ-MUDANJIANG-MULING-EDZ,黑龙江省,牡丹江市,穆棱市,['穆棱经济开发区'],government-district-mapping,https://www.hlj.gov.cn/hlj/c107858/202407/c00_31752041.shtml,黑龙江省政府报道以穆棱市县域产业发展为语境介绍穆棱经济开发区，并明确穆棱市企业落户该开发区。,2026-09-10
ZONE-JL-CHANGCHUN-JINGYUE,吉林省,长春市,南关区,"['长春净月高新技术产业开发区', '净月国家高新技术产业开发区', '净月高新技术产业开发区', '净月旅游开发区', '净月开发区']",government-district-mapping,https://mzt.jl.gov.cn/xxgk_2643/tjsj/tjgb/202401/P020240111532839184790.pdf,吉林省民政厅乡镇行政区划一览表将净月高新区托管的净月、博硕、福祉、永兴、德正、德容、彩织、德馨、永顺等街道及相关镇全部列入法定南关区；2023年省民政厅区划批复亦直接以南关区名义调整这些街道。,2026-09-10
ZONE-GZ-ZUNYI-XINPU,贵州省,遵义市,红花岗区,['新蒲新区'],government-district-mapping,https://kjt.guizhou.gov.cn/xwzx/tzgg_73876/202505/t20250528_87935451.html,贵州省政府政策目录使用“遵义市红花岗区（新蒲新区）”口径；省科技厅2025年地址直接写“遵义市红花岗区新蒲新区”，省级业务资料亦将新蒲新区虾子镇地址落到红花岗区。,2026-09-10
ZONE-HE-LANGFANG-ORIENTAL-UNIVERSITY-TOWN,河北省,廊坊市,广阳区,['东方大学城'],government-district-mapping,https://zfxxgk.lf.gov.cn/upload/file/20240430/6385008593573950125982649.pdf,廊坊市国土空间生态修复规划按法定区划明确写“广阳区（含廊坊经济技术开发区）”；廊坊市政府另将东方大学城社区列为廊坊经济技术开发区社区。本规则仅匹配东方大学城，不匹配三河、固安等其他开发区。,2026-09-10
ZONE-JX-GANZHOU-RONGJIANG,江西省,赣州市,章贡区,['蓉江新区'],government-district-mapping,https://rjxq.ganzhou.gov.cn/rjxqxxgk/c114099/202604/ca35d282ad9840f79492a0fb2d28030f.shtml,赣州市章贡区人民政府2026年蓉江新区征地公告直接覆盖潭东镇高校园区工作组及高校园区村组；现有蓉江新区Campus的已知法定区亦均为章贡区。,2026-09-10
ZONE-AH-HUAINAN-SHOUXIAN-XINQIAO,安徽省,淮南市,寿县,['新桥国际产业园'],government-district-mapping,https://www.shouxian.gov.cn/ztbd/ztzl/xqyq/zsyz/yqjj/index.html,寿县经开区管委会2026年园区简介明确：寿县新桥国际产业园现为安徽寿县经济开发区南部新桥片区；寿县政府2026年计划报告继续将新桥国际产业园作为寿县项目分区统计。,2026-09-10
ZONE-AH-HEFEI-ETDZ,安徽省,合肥市,蜀山区,"['合肥市经济技术开发区', '合肥经济技术开发区', '经济技术开发区']",government-district-mapping,https://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260704_26873557.htm,2026年中国政府采购网将合肥大学锦绣大道99号、安徽大学九龙路111号明确写为合肥市蜀山区；安徽纪检监察网将安徽艺术职业学院丹霞路8号、安徽城市管理职业学院耕云路158号明确写为蜀山区；2026采购信息将安徽审计职业学院方兴大道509号明确写为蜀山区。多条分布于合肥经开区核心高校片区的政府/省级公开地址与现有唯一法定区一致，故对同市地址中明确含合肥经济技术开发区/经济技术开发区的Campus映射到蜀山区。,2026-09-10
ZONE-HA-ZHENGZHOU-LONGZIHU,河南省,郑州市,金水区,"['郑东新区龙子湖北路', '郑东新区龙子湖东路', '龙子湖高校园区']",government-district-mapping,https://zrzyhghj.zhengzhou.gov.cn/zytdfa/1695263.jhtml,郑州市自然资源部门征地公告明确将龙子湖街道办事处列为金水区法定行政单元；金水区政府食品经营登记表亦收录郑东新区龙子湖高校园区龙子湖北路6号校园地址并由金水区市场监督管理局登记。规则仅匹配龙子湖高校园区及其龙子湖北路/东路，不泛化整个郑东新区。,2026-09-10
ZONE-HA-ZHENGZHOU-JINSHUI-EAST-ROAD,河南省,郑州市,金水区,['郑东新区金水东路'],government-district-mapping,https://gongyi.zfcg.henan.gov.cn/cmsweb81e27e/henan/cgxx/jggg/webinfo/2025/12/25/1901865.htm,河南省政府采购公开结果将河南中医药大学采购人地址明确写为“郑州市金水区金水东路156号”；同路136号现有华北水利水电大学Campus亦为金水区。规则仅匹配郑东新区金水东路高校地址。,2026-09-10
ZONE-JL-CHANGCHUN-CHAOYANG-STREETS,吉林省,长春市,朝阳区,"['双德街道', '硅谷街道', '前程街道']",government-district-mapping,https://mzt.jl.gov.cn/xxgk_2643/tjsj/tjgb/202504/P020250414515421324594.pdf,吉林省民政厅乡镇行政区划表将双德、硅谷、前程街道列入长春市朝阳区；2020年省民政厅行政区划调整批复明确三街道均由朝阳区设立或调整。仅对地址中明确写出这些法定街道的Campus映射。,2026-09-10
ZONE-JL-CHANGCHUN-KUANCHENG-FENJIN,吉林省,长春市,宽城区,['奋进乡'],government-district-mapping,https://mzt.jl.gov.cn/xxgk_2643/tjsj/tjgb/202504/P020250414515421324594.pdf,吉林省民政厅乡镇行政区划表明确将奋进乡列入长春市宽城区。,2026-09-10
ZONE-JL-CHANGCHUN-NANGUAN-LINHE,吉林省,长春市,南关区,['临河街道'],government-district-mapping,https://mzt.jl.gov.cn/xxgk_2643/tjsj/tjgb/202504/P020250414515421324594.pdf,吉林省民政厅乡镇行政区划表明确将临河街道列入长春市南关区；省民政厅街道调整批复同时记录临河街道调整。,2026-09-10
ZONE-JL-CHANGCHUN-ERDAO-SHIJI,吉林省,长春市,二道区,['世纪街道'],government-district-mapping,https://mzt.jl.gov.cn/xxgk_2643/zcwj/qhdm/201702/t20170228_2595856.html,吉林省民政厅批复明确设立长春市二道区世纪街道办事处；乡镇行政区划表继续将世纪街道列入二道区。,2026-09-10
ZONE-JL-JILIN-HIGH-TECH-STREET,吉林省,吉林市,丰满区,['吉林高新技术产业开发区高新街道'],government-district-mapping,https://mzt.jl.gov.cn/xxgk_2643/tjsj/tjgb/202203/P020220307363821374415.pdf,吉林省民政厅乡镇行政区划表将高新街道列入吉林市丰满区；本规则仅匹配地址中明确写出“吉林高新技术产业开发区高新街道”的Campus。,2026-09-10
ZONE-SD-WEIFANG-BINHAI-ETDZ,山东省,潍坊市,寒亭区,"['潍坊市滨海经济技术开发区', '潍坊滨海经济技术开发区', '潍坊市滨海经济开发区', '潍坊滨海经济开发区']",government-district-mapping,https://mzt.shandong.gov.cn/module/download/downfile.jsp?classid=0&filename=d4f2a3c2daf44b61a320e09a61f7c9cd.pdf,山东省民政厅现行县级以下行政区划代码表将大家洼街道、央子街道均列入潍坊市寒亭区；潍坊滨海经济技术开发区公开园区资料明确园区辖央子、大家洼2个街道。现有该园区Campus法定县区亦均为寒亭区。,2026-09-10
ZONE-JX-JIUJIANG-GANJIANG-YONGXIU,江西省,九江市,永修县,"['赣江新区永修组团', '永修组团']",government-district-mapping,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201607/W020190905517082444851.pdf,国家发展改革委《江西赣江新区总体方案》明确“永修组团”以永修县城、永修云山经济开发区为主体；九江市政府公报将永修县政府党组成员与赣江新区永修组团党工委/管委会职务并列，故九江市范围内地址明确含永修组团的Campus映射到永修县。,2026-09-10
ZONE-HB-EZHOU-GEDIAN,湖北省,鄂州市,华容区,"['葛店经济开发区', '葛店经济技术开发区', '葛店经开区']",government-district-mapping,https://zrzyt.hubei.gov.cn/fbjd/xxgkml/gysyjs/ghjh/201902/t20190226_1581451.shtml,湖北省自然资源厅有效批复标题及正文明确“华容区葛店镇”，并指出规划调整位于华容区；葛店经开区现辖葛店镇。故鄂州市范围内明确含葛店经开区的Campus映射到华容区。,2026-09-10
ZONE-JX-YINGTAN-XINJIANG,江西省,鹰潭市,月湖区,['信江新区'],government-district-mapping,https://dhq.nc.gov.cn/dhqrmzf/snbt/202305/9730d54ca09740df94c566bc91c8756f/files/2022%E5%B9%B4%E4%B8%80%E6%AC%A1%E6%80%A7%E7%A7%8D%E7%B2%AE%E8%A1%A5%E8%B4%B4%E6%96%87%E4%BB%B6%EF%BC%885%E4%B8%87%EF%BC%89.pdf,江西省政府财政分配文件在鹰潭市县区口径中明确写“月湖区，含鹰潭高新区、信江新区”，故鹰潭市地址明确含信江新区的Campus回落到最低法定县区月湖区。,2026-09-10
ZONE-SD-JINING-TAIBAIHU,山东省,济宁市,任城区,"['太白湖新区', '北湖省级旅游度假区']",government-district-mapping,https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260718_26963267.htm,2026年政府采购将济宁医学院太白湖校区荷花路133号直接写为济宁市任城区；山东省民政厅现行县级以下区划代码将太白湖新区辖许庄街道列入任城区，山东理工职业学院2026采购也采用任城区地址口径。故济宁市太白湖新区/北湖旅游度假区Campus回落任城区。,2026-09-10
ZONE-GS-LANZHOU-NEW-AREA,甘肃省,兰州市,皋兰县,['兰州新区'],government-district-mapping,https://www.lzxq.gov.cn/system/2024/08/08/031044586.shtml,兰州新区官网2026年4月1日现行概况明确现实际托管皋兰县中川、秦川、上川、西岔4镇；兰州市政府2023年通告又正式将中川、秦川由永登县划入皋兰县并继续由新区托管。当前新区实际托管区域的最低法定县级单位统一为皋兰县。,2026-09-10
ZONE-HA-ZHENGZHOU-BAISHA-VOCATIONAL,河南省,郑州市,中牟县,['白沙职教园区'],government-district-mapping,https://zdxq.jiceng.zhengzhou.gov.cn/030013002/9021127.jhtml,中牟县人民政府征地预公告明确将通惠路地块列入白沙镇白坟村、龙王庙村等中牟县托管区域；河南省公共资源交易中心2026年公告确认河南交通职业技术学院东校区地址为郑东新区白沙职教园区通惠路259号。故仅对白沙职教园区Campus回落中牟县，不泛化整个郑东新区。,2026-09-10
ZONE-HA-ZHENGZHOU-XINZHENG-XINCUN,河南省,郑州市,新郑市,['新郑新村镇'],government-district-mapping,https://wjw.zhengzhou.gov.cn/tzgg/10201215.jhtml,郑州市卫生健康委员会现行机构公示明确使用“新郑市新村镇卫生院”“新郑市新村镇新村大道”的法定地址口径；Campus地址“郑州市新郑新村镇”仅省略县级市后缀“市”，故规范化到新郑市。,2026-09-10
ZONE-HE-SHIJIAZHUANG-ETDZ-GAOCHENG,河北省,石家庄市,藁城区,"['石家庄市经济技术开发区', '石家庄经济技术开发区']",government-district-mapping,https://gc.gov.cn/columns/f53f8f66-591d-4e99-82c2-06e9444792b4/index.html,石家庄市藁城区人民政府藁城概况明确记载：石家庄经济技术开发区位于藁城区西部；市政府公开文件亦将藁城区人民政府与石家庄经济技术开发区管委会作为同一属地行政衔接对象。故开发区地址按最低法定县级边界映射为藁城区。,2026-09-10
ZONE-YN-KUNMING-SONGMING-VOCATIONAL-CITY,云南省,昆明市,嵩明县,"['嵩明职教新城', '嵩明杨林职教新城', '杨林职教新城', '杨林职教园区']",government-district-mapping,https://www.yncaw.gov.cn/html/2025/pajs_0222/131133.html,云南长安网2025年明确写‘位于昆明市嵩明县杨林镇的嵩明职教新城’；云南省招生考试院公开考点表也将职教新城高校地址写为嵩明县。故该职教新城/杨林职教园区按最低法定县级边界映射为嵩明县。,2026-09-10
ZONE-AH-HEFEI-ZIPENGSHAN,安徽省,合肥市,肥西县,"['紫蓬山旅游开发区', '紫蓬山风景区', '紫蓬山森林大道', '紫蓬镇森林大道']",government-district-mapping,https://www.fxggzy.cn/jyxx/003001/003001002/20260204/cb973258-7c8a-4f08-96eb-ea1ae7982b1d.html,肥西县公共资源交易2026年紫蓬山景区工程明确项目审批机关为肥西县发改委、建设地点为安徽省合肥市肥西县；同平台项目招标人为肥西县紫蓬山旅游开发区管理委员会。故紫蓬山旅游开发区/景区及森林大道高校地址按最低法定县级边界映射为肥西县。,2026-09-10
ZONE-AH-HEFEI-XINZHAN-YAOHAI,安徽省,合肥市,瑶海区,"['新站高新技术产业开发区', '新站高新区', '新站区']",government-district-mapping,https://www.ahjx.gov.cn/OpennessContent/show/2983993.html,安徽省人民政府皖政〔2023〕62号征地区片综合地价标准在合肥市法定县区口径下，将新站高新技术产业开发区管理的七里塘、瑶海、磨店、三十头、站北全部列入瑶海区；这覆盖新站当前全部托管单元。故新站高新区/新站区高校地址按最低法定县级边界映射为瑶海区。,2026-09-10
