campus_id,uid,school,campus,address,province,city,round1_category,round2_status,current_gap,round1_reason,round2_reason,round2_blocked_attempted,round2_blocked_unlock,attempted_sources,last_reviewed
PROFILE2042_1,,湖南软件职业技术大学,九华校区（新校区）,湖南省湘潭市湘潭经济技术开发区湘江路15号,湖南省,湘潭市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=雨湖区）,无政府/官方原文同时含「雨湖区（或其他法定区）」与「湘江路15号」，且九华校区唯一可用证据不得由和平校区外推。,,,,2026-09-12
PROFILE215_0,,沈阳化工大学,办学地点（档案未命名）,沈阳经济技术开发区11号街,辽宁省,沈阳市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=铁西区）,校方最权威的自述是《沈阳化工大学章程》第二条『学校校址：辽宁省沈阳市沈阳经济技术开发区11号街』与官网页脚『地址：沈阳经济技术开发区11号街』——只有功能区，无『铁西区』。唯一把学校与『铁西区』写在同一页的校方来源是 https://www.syuct.edu.cn/info/1046/5077.htm（『大中小学思政课一体化建设工作研讨会暨铁西区大中小学思政课一体化建设工作交流会』，沈阳市铁西区教育局共同主办，会议在沈阳化工大学举行），但该引文的主体是铁西区教育局与会议，不含本 campus 的道路名『11号街』，不满足“引文必须能挂到本条 campus 地址且道路名出现”的门槛。把『沈阳经济技术开发区』直接折算成『铁西区』属被明令禁止的“功能区名直接翻译成法定区”。沈阳市政府/铁西区政府检索通道为 Vue SPA（/dist/index.html，接口 /search_show 需登录态，直接请求 404），省教育厅站亦无可用检索。,,,,2026-09-12
PROFILE2254_0,,陕西科技大学镐京学院,办学地点（档案未命名）,陕西省西安市西咸新区沣西新城统一大道,陕西省,西安市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=秦都区）,本校区的真实法定区是咸阳市秦都区（西咸新区沣西新城为功能区，托管秦都区钓台街道等），不在本条 allowed_districts（全部为西安市辖区）内；闭集内任何一个区都无法被证据支持，且地图给定值本身就跨市。,,,,2026-09-12
PROFILE2390_0,,杭州师范大学钱江学院,办学地点（档案未命名）,浙江省杭州市江干区下沙高教园区学林街16号,浙江省,杭州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=钱塘区）,"全站检索显示：本校区地址在政府/官方来源中一律写成""杭州市下沙高教园区学林街16号""（历史""江干区""写法已被区划调整抹去），没有任何政府或官方来源写出""钱塘区学林街16号""或""钱塘区下沙高教园区学林街16号""；""钱塘区""只出现在承办单位等非地址语境。缺少能把 d 逐字挂到本条地址的引文。 【回滚未生效·如实记录】本条 overrides 已清空 d，但构建期 build.py 的地址级推断又填回 钱塘区（districtInferenceMethod=exact-same-city-address-inheritance，districtSourceKind=address-inherited）。该推断是项目既有的、仅凭地址确定性的机制（同城同地址/地址内逐字法定区名），非地图 POI；是否收紧属另一项改动，本轮不改，但本条在覆盖统计中仍计为「已到最低法定边界」，并非城市级缺口。",,,,2026-09-12
PROFILE2530_0,,哈尔滨远东理工学院,办学地点（档案未命名）,黑龙江省哈尔滨市利民开发区学院路时代大街158号,黑龙江省,哈尔滨市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=呼兰区）,已改用可采权威来源,,,https://www.hfeit.edu.cn/intro/weizhi.html,2026-09-12
PROFILE2606_0,,福建江夏学院,办学地点（档案未命名）,福建省福州市溪源宫路2号,福建省,福州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=闽侯县）,"该校区位于福州地区大学新校区（闽侯县上街镇），但学校自身与政府来源均只写到""福州地区大学新校区溪源宫路2号""或""福州地区大学新校区""，从不写出""闽侯县""；府级站点检索该门牌 0 命中。既无 Level 1/2，也无法构造含""闽侯县+溪源宫路""的 Level 3 佐证。",,,,2026-09-12
PROFILE2662_0,,苏州工业园区服务外包职业学院,办学地点（档案未命名）,苏州市工业园区科教创新区松涛街208号,江苏省,苏州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=虎丘区）,"校园落在苏州工业园区（功能区）范围内，项目现有法定区闭集包含虎丘区/吴中区/姑苏区等，但没有政府或官方来源把""松涛街208号""与其中任一个区名写在一起；园区管委会检索被限流，苏州市智能搜索为前端 JS，省级政府采购与自然资源检索未命中该门牌。地图给""虎丘区""本身属自动地理编码，不得作证据。",,,,2026-09-12
PROFILE3089_0,,徐州幼儿师范高等专科学校,洞山校区,江苏徐州经济技术开发区桃园路6号,江苏省,徐州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=鼓楼区）,"该校区地址在官方来源中一律止于功能区名""徐州经济技术开发区""（托管街道属功能区口径），没有任何政府或官方来源把""桃园路6号""与""鼓楼区""写在同一句；中国政府采购网的""行政区域""字段也只到""徐州市""。无引文可承载 d。",,,,2026-09-12
PROFILE3089_1,,徐州幼儿师范高等专科学校,碧螺校区,徐州经济技术开发区洞山路17号,江苏省,徐州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=鼓楼区）,"该校区的地址在公开来源中甚至难以检索到（学校官网正文只出现洞山校区地址），且没有任何政府/官方来源把""洞山路17号""与""鼓楼区""并列写出。无引文可承载 d。",,,,2026-09-12
PROFILE3249_1,,江西水利职业学院,校址二,江西省赣江新区永修组团湖东新区纵一路1号,江西省,南昌市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=永修县）,真实法定区是九江市永修县（永修组团），不在本条仅含南昌市辖区县的闭集内；闭集内任何区县都无法被证据支持。,,,,2026-09-12
PROFILE3329_0,,吉林水利电力职业学院,办学地点（档案未命名）,吉林省长春市净月开发区聚业大街6566号,吉林省,长春市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=南关区）,"该校区位于长春净月高新技术产业开发区（功能区），地址在官方来源中从不带法定区；净月高新区在长春市政府门户中与""行政区划""并列单列。府级站内检索门牌 0 命中，未找到把""聚业大街6566号""与""南关区""写在一起且属于本校区地址的引文。",,,,2026-09-12
PROFILE3332_0,,石家庄城市经济职业学院,主校区,河北省石家庄市经济技术开发区岗上镇文明路12号,河北省,石家庄市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=藁城区）,已改用可采权威来源,,,http://www.gc.gov.cn/columns/a9b3c0b8-2c08-400e-b0f2-05d06e7ba615/202112/21/f421a725-9514-4afd-a460-033602a5151a.html,2026-09-12
PROFILE3342_0,,盐城幼儿师范高等专科学校,学海路校区,江苏省盐城市高职园区学海路28号,江苏省,盐城市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=盐都区）,已改用可采权威来源,,,https://zsjyc.yyz.edu.cn/2022/0919/c1463a19389/pagem.htm,2026-09-12
PROFILE3342_1,,盐城幼儿师范高等专科学校,海洋路校区,江苏省盐城市高职园区海洋路28号,江苏省,盐城市,M 商业地图定区补救（V5.4 遗留）,RESOLVED,no,V5.4 期间以商业地图 POI 定区（landed_d=盐都区）,已改用可采权威来源,,,https://zsjyc.yyz.edu.cn/2022/0919/c1463a19389/pagem.htm,2026-09-12
PROFILE3368_0,,三门峡社会管理职业学院,办学地点（档案未命名）,河南省三门峡市职业教育园区学府路,河南省,三门峡市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=灵宝市）,无任何官方/政府来源写出「法定区名+学府路」或该校区宗地所属行政区/村集体；学校仅写功能区「三门峡城乡一体化示范区」，政府侧站内检索不可用，地图落点灵宝市无独立佐证。,,,,2026-09-12
PROFILE3369_0,,河南测绘职业学院,办学地点（档案未命名）,郑州市郑东新区工贸路30号,河南省,郑州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=中牟县）,无法定来源把「中牟县」与「工贸路30号」写在同一地址上；仅有同一路名不同宗地的征收预公告与无法定区的功能区地址。,,,,2026-09-12
PROFILE3461_0,,安徽艺术学院,丹霞路校区,安徽省合肥市经济技术开发区大学城丹霞路8号,安徽省,合肥市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=蜀山区）,学校自述只有校区名无区名；合肥/蜀山区政府站点被拒（HTTP 521）；so-gov 未收录合肥相关站点；无任何来源写出「蜀山区丹霞路8号」。,,,,2026-09-12
PROFILE3641_0,,山东城市服务职业学院,办学地点（档案未命名）,山东省烟台市高新区科创西路60号,山东省,烟台市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=莱山区）,无任何政府/官方来源写出「莱山区（或其它法定区）+科创西路60号」；功能区「烟台高新区」无独立法定区映射证据；莱山区政府网/住建局公示均无科创西路。,,,,2026-09-12
PROFILE3643_1,,郑州食品工程职业学院,太湖路校区,郑州航空港区华夏大道与太湖路交叉口,河南省,郑州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=新郑市）,无任何官方/政府来源把「新郑市」与「太湖路/华夏大道」写在同一地址上；航空港区规划公示仅含路名无法定区；新郑市政府站内搜索不可用。,,,,2026-09-12
PROFILE3670_0,,郑州软件职业技术学院,办学地点（档案未命名）,郑州航空港经济综合实验区南海大道36号,河南省,郑州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=新郑市）,官方/政府来源对『南海大道36号』一律只给功能区名『郑州航空港经济综合实验区』，无任何法定县级单元；唯一含『南海大道』的政府文件是不同宗地，不能作门牌定区。,,,,2026-09-12
PROFILE3767_0,,南通卫生健康职业学院,办学地点（档案未命名）,江苏省南通经济技术开发区振兴东路288号,江苏省,南通市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=崇川区）,政府来源只写功能区『南通经济技术开发区』；无任何政府/官方来源把振兴东路288号逐字落到『崇川区』。,,,,2026-09-12
PROFILE411_0,,吉林外国语大学,办学地点（档案未命名）,吉林省长春市净月国家高新技术产业开发区净月大街3658号,吉林省,长春市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=南关区）,学校官方全部页面只写'长春市净月大街3658号'(无区名)；长春市政府门户与净月高新区管委会站内检索均无该门牌结果，故 landed_d=南关区 无合法来源支撑(原 landed_evidence 引用的门址地图属禁止来源)。,,,,2026-09-12
PROFILE870_0,,抚州医药学院,南校区,江西省抚州市文昌大道2766号,江西省,抚州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=临川区）,政府/官方来源对该门牌只给功能区（高新区）或不给区；唯一含『临川区』的同址原文出自商业站转载，规则禁止商业站作佐证；原始抚州市卫健委公告经专栏页/jsearch/分页接口均取不到正文。,,,,2026-09-12
PROFILE927_0,,江西司法警官职业学院,办学地点（档案未命名）,江西省南昌市昌北经济技术开发区长青路76号,江西省,南昌市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=新建区）,官方来源无区；司法厅快照给的是功能区『红谷滩新区』且与记录地址不符、页面正文不可读；无任何政府原文把长青路76号逐字落到法定区『新建区』。,,,,2026-09-12
PROFILE931_0,,江西电力职业技术学院,办学地点（档案未命名）,江西省南昌市昌北经济开发区海棠南路666号,江西省,南昌市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=新建区）,政府/官方来源只到功能区『昌北经济开发区/南昌经济技术开发区』；含海棠南路的政府批复是它宗地块且无区；含该门牌的招聘公告为商业站转载。无任何政府原文把海棠南路666号逐字落到法定区。,,,,2026-09-12
PROFILE948_0,,江西应用技术职业学院,办学地点（档案未命名）,江西省赣州市蓉江新区文峰路9号,江西省,赣州市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=章贡区）,官方来源只写功能区『蓉江新区』；与『章贡区』同现的地址要么属它校区（红旗大道27号），要么属它实体（白云小学文峰路校区），不能用于本 campus；无政府原文把文峰路9号逐字落到章贡区。,,,,2026-09-12
V53_HEN_SMx_01,,,,,河南省,三门峡市,M 商业地图定区补救（V5.4 遗留）,HARD-BLOCKED,yes,V5.4 期间以商业地图 POI 定区（landed_d=灵宝市）,官方/政府来源只给功能区『城乡一体化示范区』；唯一行政区为灵宝市的政府文件是它宗土地出让公告；无政府原文把学府路3号逐字落到法定区（灵宝市或陕州区）。,,,,2026-09-12
PROFILE1014_0,4122011439,吉林农业科技学院,九站校区,吉林省吉林市吉林经济技术开发区翰林路77号,吉林省,吉林市,D 功能区/大学城无法定区佐证,RESOLVED,no,functional_zone_only,government,,,http://www.jlcity.gov.cn/bmwz/hbj/zcfg/shbjgfxwj/202512/t20251209_1298359.html — 吉林市人民政府禁燃区通告：逐字含「昌邑区（含经开区）…翰林路」与「翰林路-吉林农业科技学院围墙」，命中; http://www.jleda.gov.cn/tzgg/202608/t20260814_1332343.html — 吉林经开区不可移动文物名录：仅「吉林经济技术开发区九站街道 翰林路 77 号」功能区; http://www.jlscy.gov.cn/zjcy/201706/t20170613_61740.html — 昌邑区政府《区划变更》：1998 年九站街道划出（与市政府现行口径冲突）; https://www.jlnku.edu.cn/ — 吉林农业科技学院官网：仅功能区地址; https://so.toutiao.com/search?keyword=吉林农业科技学院 九站校区 昌邑区,2026-09-12
PROFILE1015_0,4142012980,随州职业技术学院,办学地点（档案未命名）,湖北省随州市迎宾大道38号,湖北省,随州市,H 其他,RESOLVED,no,other,government,,,站内检索命中并逐字核对: http://www.suizhou.gov.cn/zwgk/xxgk/xxgkzfcg/zbjggg/202311/t20231120_1170282.shtml; 随州市人民政府站内检索后端(POST): http://www.suizhou.gov.cn/ssp/search/api/search?keyWord=曾都区迎宾大道38号&siteId=ff8080818bd0e0db018bd1839c460001; 随州市人民政府站内检索后端(POST): keyWord=随州职业技术学院 / keyWord=迎宾大道38号; 曾都区人民政府站内检索后端(POST): http://www.zengdu.gov.cn/ssp/search/api/search?keyWord=随州职业技术学院 / 迎宾大道 / 职业技术学院 （均 0 命中，该站索引未覆盖教育栏目）; http://www.zengdu.gov.cn/zwgk/fdzdgknr/shsyjs/jy/zdjyxx/202605/t20260514_1426197.shtml （曾都区教育局页：地址=湖北省随州市迎宾大道38号随州职业技术学院云桂楼，但主角是随州机电工程学校，且正文无「曾都区」字样，未采用）; https://xxgk.szvtc.edu.cn/ （校信息公开网：地址只有「湖北省随州市迎宾大道38号」，无区名）,2026-09-12
PROFILE1017_1,4143013041,长沙南方职业学院,方舟校区,湖南省长沙市湘江新区金山桥培文路,湖南省,长沙市,D 功能区/大学城无法定区佐证,RESOLVED,no,functional_zone_only,government,,,http://www.yuelu.gov.cn/yl_xxgk/bmxxgkml/qwjj/tzgg/202311/t20231123_11296799.html; http://www.yuelu.gov.cn/yl_xxgk/bmxxgkml/qwjj/tzgg/202412/t20241224_11695949.html; https://searching.hunan.gov.cn/hunan/971101000/all?q=培文路; https://searching.hunan.gov.cn/hunan/971101000/all?q=方舟校区医务室; https://api.so-gov.cn/query/s siteCode=4301120002 qt=培文路/方舟校区,2026-09-12
PROFILE1020_0,4135010392,福建医科大学,旗山校区,福建省福州市大学新区学府北路1号,福建省,福州市,D 功能区/大学城无法定区佐证,RESOLVED,no,functional_zone_only,government,,,https://www.minhou.gov.cn/xjwz/zwgk/gzdt/bmdt/202201/t20220104_4284045.htm; 闽侯县人民政府门户站内检索: 学府北路1号 / 福建医科大学旗山校区,2026-09-12
PROFILE1021_1,4135010393,福建中医药大学,屏山校区,福建省福州市五四路282号,福建省,福州市,E 无权威来源,RESOLVED,no,no_authoritative_source,official,,,http://bgs.fjtcm.edu.cn/2025/0422/c595a104240/page.htm,2026-09-12
PROFILE1026_0,4142010920,湖北理工学院,办学地点（档案未命名）,湖北省黄石市桂林北路16号,湖北省,黄石市,E 无权威来源,RESOLVED,no,no_authoritative_source,校方自己给该门牌时只到「黄石市」；政府侧唯一带「下陆区」的原文属于招标代理公司地址（不同主体、不同门牌），不得移用为学校的区名证据。,①抓取官网/简介/采购公告列表与多篇详情；②抓取湖北省政府采购网多篇公告并逐条区分采购人与代理地址；③尝试黄石市人社局考点公告（403）；④尝试国家级政府采购网全文检索（服务器 IP 被限流）；⑤尝试学校招生章程（JS 渲染/跳转商业站，无正文）。,需出现「下陆区」或「黄石港区」等与「桂林北路16号」同句的官方或政府原文：黄石市人社局/湖北省人事考试院考点公告（考点地址含区名）、消防救援机构重点单位公示、生态环境部门环评/排污许可公示的建设地点、或政府采购公告中的采购人地址（含区名）。,https://www.hbpu.edu.cn/（页脚「地址：湖北省黄石市桂林北路16号」）; https://www.hbpu.edu.cn/xxgk/xxjj.htm（学校简介，仅页脚门牌）; https://www.hbpu.edu.cn/cgxx/cggg.htm 及 info/1153/38364.htm、38377.htm、38407.htm、38244.htm（采购人地址仅门牌；下陆区仅出现在代理公司地址）; http://www.ccgp-hubei.gov.cn/notice/202311/notice_6143030890d2480c8a1d8d517ffb5e22.html（采购人地址「湖北省黄石市桂林北路16号」，代理「黄石市下陆区广州路5号」）; http://zsxx.hbpu.edu.cn/（招生工作处，仅跳转商业平台 zhinengdayi.com/hbpu，无正文）; https://www.hbpu.edu.cn/zsjy/zsxx.htm（404）,2026-09-13
PROFILE102_2,4135010384,厦门大学,漳州校区,福建省漳州招商局经济技术开发区南滨大道300号,福建省,厦门市,H 其他,HARD-BLOCKED,yes,other,校区实体位于漳州市，而记录 allowed_districts 限定为厦门市六区；漳州招商局经济技术开发区又只是功能区而非法定区名。无论证据多充分，都无法在允许闭集内写出合法 d。,解析记录地址行政层级（漳州市境内的功能区）；对照 allowed_districts 全为厦门市各区，确认无交集；检索 query：『厦门大学漳州校区 属于哪个区 漳州市』『厦门大学漳州校区 地址 龙海区』；上一轮 reject 结论复核一致。,需人工确认该 campus 的归属市应为漳州市，并把 allowed_districts 由厦门市六区改为漳州市法定区（如龙海区），方可据漳州市/龙海区政府公开文件落库。,记录地址自证：漳州招商局经济技术开发区南滨大道300号（漳州市境内，功能区名）; 国家统计局区划代码（漳州市 3506：龙海区 350604、漳浦县 350623）; query: 厦门大学漳州校区 属于哪个区 漳州市,2026-09-12
PROFILE102_4,4135010384,厦门大学,马来西亚分校,马来西亚雪兰莪州沙叻丁宜,福建省,厦门市,H 其他,HARD-BLOCKED,yes,other,办学实体在境外（马来西亚雪兰莪州），中国法定县区概念不适用；allowed_districts 又限定为厦门市各区，无法给出合法 d。,以记录地址判定境外属性；核对 allowed_districts 全为厦门市各区确认无适用项；检索 query：『厦门大学马来西亚分校 地址 属于哪个区 中国』；上一轮 reject 结论复核一致。,该条本质上不应归属任何中国法定县区。需上游把此 campus 标注为境外/不适用（或从需定区的数据集中剔除），而非期待新证据解锁。,记录地址自证：马来西亚雪兰莪州沙叻丁宜（境外）; query: 厦门大学马来西亚分校 地址 属于哪个区 中国,2026-09-12
PROFILE1031_1,4144011540,广东金融学院,肇庆校区,广东省肇庆市星湖石牌,广东省,肇庆市,E 无权威来源,RESOLVED,no,no_authoritative_source,official,,,https://www.gduf.edu.cn/xygk/gjzc.htm; site:gduf.edu.cn 肇庆校区 星湖石牌; 广东省人民政府 广东金融学院 章程 肇庆校区 端州区,2026-09-12
PROFILE1034_0,4145010600,广西中医药大学,仙葫校区,广西壮族自治区南宁市五合大道13号,广西壮族自治区,南宁市,B 来源抓取失败,RESOLVED,no,source_inaccessible,official,,,https://www.gxtcmu.edu.cn/rsc/rczp/content_82781; https://www.gxtcmu.edu.cn/ 站内检索 五合大道13号,2026-09-12
PROFILE1034_1,4145010600,广西中医药大学,明秀校区,广西壮族自治区南宁市明秀东路179号,广西壮族自治区,南宁市,A 上一轮独立复核未通过,RESOLVED,no,独立复核要求降级人工复审（引文/地址挂钩未达 verified 门槛）,government,,,https://zrzyj.nanning.gov.cn/zwgk_57/xxgk/ghgl/ghgs/phgs/t5742022.html; https://www.xxtq.gov.cn/xxtqzrzyj/tzgg/t6353442.html; https://www.gxtcmu.edu.cn/,2026-09-12
PROFILE1038_1,4150010642,重庆文理学院,星湖校区,重庆市永川卫星湖文化旅游区,重庆市,重庆市,A 上一轮独立复核未通过,RESOLVED,no,独立复核要求降级人工复审（引文/地址挂钩未达 verified 门槛）,official,,,https://zb.cqwu.edu.cn/article_428725.html（重庆文理学院本科招生信息网，逐字「学校坐落在重庆市永川区，有红河、星湖两个校区。」）; https://www.cqwu.edu.cn/channel_25601.html 及主站 BFS 30 页（页脚「红河校区：重庆市永川区红河大道319号 星湖校区：重庆市永川卫星湖文化旅游区」）; so.toutiao.com 检索「重庆文理学院 星湖校区 永川区 位于」「重庆文理学院 星湖校区 地址」; 子域探测 xhxq/xh/xinghu/xhgw.cqwu.edu.cn（302，无可读内容）,2026-09-12
PROFILE1046_0,4145011548,广西财经学院,相思湖校区,广西壮族自治区南宁市大学西路189号,广西壮族自治区,南宁市,B 来源抓取失败,RESOLVED,no,source_inaccessible,official,,,https://www.gxufe.edu.cn/www/subWebSites/cgzx/detail.html?informationid=1706897,2026-09-12
PROFILE1046_1,4145011548,广西财经学院,明秀校区,广西壮族自治区南宁市明秀西路100号,广西壮族自治区,南宁市,B 来源抓取失败,RESOLVED,no,source_inaccessible,official,,,https://www.gxufe.edu.cn/www/subWebSites/cgzx/detail.html?informationid=1713001,2026-09-12
