campus_id,uid,school,campus,address,province,city,status,failure_reason,failure_reason_detail,attempted_sources,last_reviewed
PROFILE1153_0,4115013824,内蒙古交通职业技术学院,办学地点（档案未命名）,内蒙古自治区赤峰市新城王府大街2号,内蒙古自治区,赤峰市,RESOLVED,—,学校官网,http://www.nmjtxy.cn/ -> 200，招生工作处页脚「地址:内蒙古赤峰市松山区新城王府大街2号」，命中松山区; https://www.imvtcc.edu.cn/ -> 200，学院主站页脚「学院地址：内蒙古赤峰市新城王府大街二号」，无区名; http://www.nmjtzyxy.com/、www.nmjtxy.com/、www.cfjtxy.com/ -> 均 000/无解析，域名不存在,2026-09-12
PROFILE529_1,4115010139,内蒙古财经大学,东校区,内蒙古呼和浩特海拉尔大街47号,内蒙古自治区,呼和浩特市,RESOLVED,—,学校官网,https://www.imufe.edu.cn/ — 200，页脚『内蒙古呼和浩特海拉尔大街47号（东)』无区名；另见『回民区北二环路185号』为西校区; https://www.imufe.edu.cn/zsxxw/info/1008/2571.htm — 200，命中『东校区，地址：呼和浩特市新城区海拉尔大街 47号』（采用，经搜狗快照链接解析出真实 URL）,2026-09-12
PROFILE1758_0,4145013524,北海艺术设计学院,办学地点（档案未命名）,广西壮族自治区北海市新世纪大道1号,广西壮族自治区,北海市,RESOLVED,—,学校官网,http://www.sszss.com/ （北海艺术设计学院官网）→ 页脚逐字“地址：广西壮族自治区北海市银海区新世纪大道1号 邮编：536000”，桂公网安备45050302000053号; http://www.sszss.com/ 校园新闻 → “北海市银海区委书记叶海源到我校调研指导”; 头条检索“北海艺术设计学院 新世纪大道1号 银海区” → 命中官网页脚与银海区人民政府页面,2026-09-12
PROFILE166_0,4132010300,南京信息工程大学,校本部,江苏省南京市宁六路219号,江苏省,南京市,RESOLVED,—,学校官网,https://jsgzb.nuist.edu.cn/ → “地址：南京市浦口区宁六路219号 邮编：210044 电话：025-58731455”; https://lib.nuist.edu.cn/ → “地址：江苏省南京市浦口区宁六路219号 邮编：210044”，苏公网安备32011102010187号; https://www.nuist.edu.cn/ 主站 → 未含区（以二级机构页脚为准）,2026-09-12
PROFILE160_1,4132010293,南京邮电大学,三牌楼校区,江苏省南京市新模范马路66号,江苏省,南京市,RESOLVED,—,学校官网,http://ict.njupt.edu.cn/lxwm/list.htm (WebFetch+curl 成功，含鼓楼区); https://www.njupt.edu.cn/ 页脚 (仅南京市新模范马路66号，无区); http://jjy.njupt.edu.cn/ (南京市龙蟠路177号，无区); 搜狗/头条多组「新模范马路66号 鼓楼区」检索,2026-09-12
PROFILE160_0,4132010293,南京邮电大学,仙林校区,江苏省南京市仙林大学城文苑路9号,江苏省,南京市,RESOLVED,—,政府/教育系统官方,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202609/t20260908_27289784.htm → 命中：采购单位「南京邮电大学」，单位地址「南京市栖霞区文苑路9号」（成功，逐字）; https://search.ccgp.gov.cn/bxsearch?searchtype=2&page_index=1&kw=文苑路9号&timeType=5 → 命中上述成交公告; https://www.njupt.edu.cn/ → 页脚仅「南京市仙林大学城文苑路9号」（功能区），全文无栖霞区; https://m.sogou.com/web/searchList.jsp?keyword=南京邮电大学仙林校区 栖霞区 → CAPTCHA 反爬页,2026-09-12
PROFILE2434_1,4136013437,南昌医学院,象湖校区,江西省南昌市小蓝经济开发区汇仁大道689号,江西省,南昌市,RESOLVED,—,政府/教育系统官方,http://www.nc.gov.cn/qlzhyqfk/fkzn/202108/4c0a0ad80df6453aabe22c6d0e06a47e.shtml — 命中，逐字「南昌美康盛德医学检验实验室　南昌县　南昌市南昌县汇仁大道 689 号」; http://ncx.nc.gov.cn/ncxrmzf/ylwsu/202607/e27e8fdb60f8403b8a8575ed617b8267.shtml — 命中，「地址：南昌县小蓝经济技术开发区汇仁大道689号江西卫生职业学院31栋一层」; http://ncx.nc.gov.cn/ncxrmzf/xzzfgsk/202505/c816f438a4984979a062f56a50ccf090.shtml — 命中，「江西卫生职业学院 南昌县小蓝经济开发区汇仁大道689号」; https://api.so-gov.cn/query/s 南昌县站(siteCode=3601210001) 检索「汇仁大道689号」— 8 条，均为南昌县口径; http://ncx.nc.gov.cn/ncxrmzf/ylwsu/202407/611c828e1bae4eeca225bff63ebc8b57.shtml — 命中，「机构地址：南昌县小蓝经济开发区汇仁大道689号31栋1层」,2026-09-12
PROFILE1850_0,4134014135,合肥共达职业技术学院,办学地点（档案未命名）,安徽省合肥新站高新技术产业开发区九顶山路68号,安徽省,合肥市,RESOLVED,—,学校官网,https://www.hfgdxy.cn/DzsIndex/index/classid/177.html（招生工作）→ 列出《2026年普通高考招生章程》链接; https://www.hfgdxy.cn/Dzs/detail/id/13124.html → 逐字核到『四、办学地址：安徽省合肥市瑶海区合肥新站高新技术产业开发区九顶山路68号』; https://www.hfgdxy.cn/About/index/id/60.html（联系方式）与 https://www.hfgdxy.cn/（首页页脚）→ 只写『合肥新站高新技术产业开发区九顶山路68号』，无区名（对照）; 头条搜索『合肥共达职业技术学院 2025年招生章程 办学地址』→ 第三方转载同句含瑶海区，据此定位到校方官网章程原文,2026-09-12
PROFILE1801_2,4134014098,合肥师范学院,锦绣校区,安徽省合肥市经济技术开发区莲花路1688号,安徽省,合肥市,RESOLVED,—,政府/教育系统官方,ggzy.hefei.gov.cn 全量检索 API（wd=合肥师范学院）→ 命中该挂牌公告; https://ggzy.hefei.gov.cn/jyxx/002003/002003001/20241227/7df2a9f25fc23921a50904c6c7fb22aa.html → 逐字核到『合肥师范学院锦绣校区（合肥市蜀山区莲花路1688号）』; https://zsb.hfnu.edu.cn/zsxx1/zszc.htm（合肥师范学院招生章程）→ 原文『锦绣校区地址：合肥市莲花路1688号』，无区名（仅作旁证）,2026-09-12
PROFILE1611_0,4122012049,吉林交通职业技术学院,校本部,吉林省长春市高新区电台街63号,吉林省,长春市,RESOLVED,—,学校官网,https://www.so.com/s?q=吉林交通职业技术学院 朝阳区 电台街63号 (发现 jljy.edu.cn 中标公告); https://www.jljy.edu.cn/ (官网；页脚“长春市新电台街63号”，无区名); https://www.jljy.edu.cn/info/1018/15114.htm (命中：长春市朝阳区电台街63号); https://www.jljy.edu.cn/sylm/xxgg.htm (通知公告列表，1480条); http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202410/t20241010_23325116.htm (仅“长春市高新区电台街63号”，功能区); http://www.jjtc.com.cn/ (旧域名，ECONNREFUSED),2026-09-12
PROFILE1927_0,4141012750,周口职业技术学院,开元校区,河南省周口市开元大道1号,河南省,周口市,RESOLVED,—,学校官网,https://www.zkvtc.edu.cn/ → 官网首页页脚仅「地址：河南省周口市开元大道1号（开元校区）| 文昌大道东段（文昌校区）」，无区名; https://www.zkvtc.edu.cn/info/1033/8577.htm → 校内采购公告，「地址：周口市川汇区开元大道1号」，命中 川汇区; https://www.zkvtc.edu.cn/info/1033/8588.htm / 8589.htm / 8594.htm → 同址采购公告互证; https://zs.zkvtc.edu.cn/info/1014/1784.htm → 招生网确认「开元校区＝河南省周口市开元大道1号」; 整站爬取 www.zkvtc.edu.cn 60/90/220 页 → 「川汇区」仅出现在校内采购公告的采购人地址处,2026-09-12
PROFILE1956_0,4142013265,咸宁职业技术学院,办学地点（档案未命名）,湖北省咸宁市咸宁大道118号,湖北省,咸宁市,RESOLVED,—,政府/教育系统官方,http://www.xianning.gov.cn/xxgk/xxgkml/czzj/bmys/2020nxnsbmysgk/202003/t20200310_1942577.shtml（curl -k）→ 命中「学校所在地——咸宁市咸安区咸宁大道118号」原文; http://www.xnec.cn/ 全站爬取 60 页（关键词 咸安区）→ 0 条；官网 footer 仅「地址：湖北省咸宁市咸宁大道118号」无区名; http://www.xianan.gov.cn/ → 站内检索为 /aisp_ssp JS 应用，无法驱动,2026-09-12
PROFILE3083_1,4123013302,哈尔滨传媒职业学院,二校区,哈尔滨市松花路88号,黑龙江省,哈尔滨市,RESOLVED,—,学校官网,https://www.hrbmcc.com/xueyuanjianjie/ — 200，学校官网学院简介“校区地址”载明“二校区位于哈尔滨市双城区松花路88号”，采用; https://www.hrbmcc.com/recruit/2662.html — 200，2026年招生章程只写“二校区：哈尔滨市松花路88号”，无区; https://www.hrbmcc.com/lianxiwomen/ 与全站页脚 — 只写“哈尔滨市松花路88号（二校区） 邮编：150137”，无区; https://www.lzk.hl.cn/search/search_list.jsp（黑龙江省招生考试信息港，POST siteid=4&keywords=哈尔滨传媒职业学院）— 200，返回“没有相关信息”; https://so.toutiao.com/search?keyword=松花路88号 — 第三方（百度百科/大学生必备网）称“双城区”，另有净土寺/中国云谷“平房区松花路”条目，仅作线索; https://nominatim.openstreetmap.org/ 与地图类POI — 显示松花路跨平房区/南岗区/双城区，仅作线索,2026-09-12
PROFILE1062_0,4123010231,哈尔滨师范大学,松北校区,黑龙江省哈尔滨市利民经济开发区师大路1号,黑龙江省,哈尔滨市,RESOLVED,—,政府/教育系统官方,https://www.ganyu.gov.cn/gyjy/gsgg/content/4023706c-5237-4f36-83e5-2885db7fab41.html — 200，连云港市赣榆区人民政府招聘公告，采用; http://www.hrbnu.edu.cn/ — 哈尔滨师范大学官网连接被拒(ECONNREFUSED)且仅HTTP，无法取证; https://so.toutiao.com/search?keyword=哈尔滨师范大学 松北校区 呼兰 — 佐证检索,2026-09-12
PROFILE244_0,4133010354,嘉兴大学,梁林校区,浙江省嘉兴市广穹路899号,浙江省,嘉兴市,RESOLVED,—,学校官网,https://zsb.zjxu.edu.cn/info/10443/86774.htm → HTTP 200，门牌一致但只写「浙江省 嘉兴市 广穹路899号」，无区名; https://www.zjxu.edu.cn/ → HTTP 200，页脚「浙江省嘉兴市广穹路899号」，无区名；南湖区仅出现在无关新闻; http://xxgk.zjxu.edu.cn → HTTP 200，命中「嘉兴市南湖区广穹路899号」✓,2026-09-12
PROFILE793_0,4151012764,四川建筑职业技术大学,德阳校区,四川省德阳市嘉陵江西路4号,四川省,德阳市,RESOLVED,—,学校官网,https://www.scac.edu.cn/xygk/xyjj.htm — 本人复抓：仅「（德阳校区）德阳市嘉陵江西路4号 邮编：618000」，无区名; https://www.scac.edu.cn/xxgk1/xxjj.htm — 学校简介：仅「德阳市嘉陵江西路4号」，全文无「旌阳区」; https://www.scac.edu.cn/info/1013/17932.htm — 招生章程：办学地址只写「德阳市嘉陵江西路4号」，无区名; https://www.scac.edu.cn/info/1140/14214.htm — 考点页：仅「德阳市嘉陵江西路4号」; https://www.scac.edu.cn/info/1013/12413.htm — 仅「德阳市嘉陵江西路4号」; https://www.scac.edu.cn/info/1146/18378.htm — 采购公告：采购人处未写地址; http://search.ccgp.gov.cn/bxsearch?searchtype=1&page_index=1&kw=四川建筑职业技术大学 — 中采网仅有近一周公告，未含区名; http://gjxy.scac.edu.cn/ — 命中：含「四川省德阳市旌阳区嘉陵江西路4号西区8号教学楼」（已 WebFetch 逐字复核）,2026-09-12
PROFILE216_0,4121010172,大连外国语大学,旅顺校区,辽宁省大连市旅顺南路西段6号,辽宁省,大连市,RESOLVED,—,政府/教育系统官方,https://www.dlufl.edu.cn/ 官网首页：仅『旅顺校区和中山校区』，全文无旅顺口区; https://zsb.dlufl.edu.cn/zszc.htm、https://zsb.dlufl.edu.cn/info/1111/1752.htm 招生章程：『办学地点及校址：大连市旅顺南路西段』，无区名; https://zsb.dlufl.edu.cn/ljdw/xygk.htm 学院概况：『学校拥有旅顺校区和中山校区两个校区』，无区名; https://xxgk.dlufl.edu.cn/ 信息公开网：未见区名; 站内 BFS 抓取 www.dlufl.edu.cn 30 页 + zsb.dlufl.edu.cn 25 页，检索『旅顺口区』零命中; WebSearch 会话预算耗尽（200/200）；Bing/百度/搜狗/360/Ecosia/Yandex 均被验证码或降级; https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202506/t20250605_24720880.htm 命中,2026-09-12
PROFILE1787_0,4133013742,宁波卫生职业技术学院,办学地点（档案未命名）,浙江省宁波市高教园区（南区）学府路51号,浙江省,宁波市,RESOLVED,—,学校官网,https://www.nchs.net.cn/ — 首页页脚：宁波市高教园区（南区）学府路51号（无中文法定区）; https://www.nchs.net.cn/2831/list.htm — 学校介绍：中文行仅高教园区，英文行含 Yinzhou; https://www.nchs.net.cn/2813/list.htm — 学校总览：同上三处，仅英文行有 Yinzhou; https://www.nchs.net.cn/2839/list.htm — 交通位置：仅「宁波市高教园区（南区）学府路51号」; https://www.nchs.net.cn/lxfs/list.htm — 联系方式：地址：宁波市鄞州区学府路51号 ← 采用; https://zs.nchs.edu.cn/ 与 /2026/0520/c1064a86636/page.htm — 招生章程页无正文地址; https://www.nbchs.net/ 、www.nbchs.edu.cn 、www.nbwzy.cn 、www.nbwzy.com — 域名不存在；正确域名为 www.nchs.net.cn（经浙江省教育厅高校名单查得）,2026-09-12
PROFILE1767_0,4133010863,宁波职业技术大学,本部校区,浙江省宁波经济技术开发区庐山东路388号,浙江省,宁波市,RESOLVED,—,学校官网,https://www.nbpu.edu.cn/ — 页脚地址为「宁波经济技术开发区庐山东路388号」（功能区，无法定区）; https://www.nbpu.edu.cn/2638/list.htm — 学校简介：庐山东路388号 + 「分设北仑、鄞州、余姚三个校区」，未把北仑区与门牌同句; https://xxgk.webs.nbpu.edu.cn/ — 信息公开网：地址：浙江省宁波市北仑区庐山东路388号 ← 采用; https://zs.nbpu.edu.cn/ — DNS 不存在,2026-09-12
PROFILE1216_0,4133016301,宁波诺丁汉大学,办学地点（档案未命名）,浙江省宁波市泰康东路199号,浙江省,宁波市,RESOLVED,—,学校官网,https://www.nottingham.edu.cn/cn/index.aspx → curl HTTP 504（站点拒绝），WebFetch 成功但页脚仅「中国浙江省宁波市泰康东路199号」无区名; https://www.nottingham.edu.cn/cn/about/contact-us.aspx → WebFetch 成功，命中「浙江省宁波市鄞州区泰康东路199号」✓; https://jobs.nottingham.edu.cn/ → 仅英文地址 199 Taikang East Road，无中文区名,2026-09-12
PROFILE1024_1,4134010372,安庆师范大学,龙山校区,安徽省安庆市集贤北路1318号,安徽省,安庆市,RESOLVED,—,学校官网,https://smkx.aqnu.edu.cn/index.htm → 命中，页脚逐字含“安徽省安庆市宜秀区集贤北路1318号”; https://yyxy.aqnu.edu.cn/ → 页脚仅“安徽安庆集贤北路1318号”，无区名; https://zyhj.aqnu.edu.cn/ → 抓取失败(32字节空页); https://www.aqnu.edu.cn/ → 首页无地址区名; WebSearch → 配额耗尽(200/200)未执行; Bing/DuckDuckGo/Sogou/360 搜索 → 全部被验证码或串行垃圾结果拦截; so.toutiao.com 搜索 → 可用，据此发现上述二级学院页面,2026-09-12
PROFILE1836_0,4134013345,安庆职业技术学院,办学地点（档案未命名）,安徽省安庆市天柱山东路99号,安徽省,安庆市,RESOLVED,—,政府/教育系统官方,https://www.anqing.gov.cn/public/4018866/2007295631.html （安庆市人民政府信息公开《公务员考试考点及周边公交线路》：命中“安庆市迎江区天柱山东路 99号”原文）,2026-09-12
PROFILE1835_0,4134013344,安徽国防科技职业学院,办学地点（档案未命名）,安徽省六安市梅山中路56号,安徽省,六安市,RESOLVED,—,学校官网,https://www.acdt.edu.cn/ → 首页页脚仅写“地址：安徽省六安市梅山中路56号”（不含区），皖公网安备34150102000169（341501 为六安市市辖区，非具体区）; https://www.acdt.edu.cn/sysx/ → 命中“安徽省六安市金安区梅山中路56号 邮编：237011”; https://www.acdt.edu.cn/xxgk/ → 信息公开栏目未见含区地址; https://zs.acdt.edu.cn/ 、https://xxgk.acdt.edu.cn/ → 返回 0 字节不可达; 头条检索“安徽国防科技职业学院 金安区梅山中路56号”“六安市金安区梅山中路56号” → 仅“大家都在搜”建议,2026-09-12
PROFILE1839_0,4134013846,安徽国际商务职业学院,办学地点（档案未命名）,安徽省合肥市双凤开发区魏武路001号,安徽省,合肥市,RESOLVED,—,政府/教育系统官方,ggzy.hefei.gov.cn 全量检索 API（wd=安徽国际商务职业学院 / 魏武路）→ 命中该招标公告; https://ggzy.hefei.gov.cn/jyxx/002001/002001002/20260630/a2e5007d-fb89-414f-a5cf-43ee8019daef.html → 逐字核到『长丰县魏武路1号』,2026-09-12
PROFILE1830_2,4134013338,安徽城市管理职业学院,经开校区,安徽省合肥市经济技术开发区耕云路158号,安徽省,合肥市,RESOLVED,—,政府/教育系统官方,http://www.ahjgbzw.gov.cn/content/detail/6721703c7f8b9ac7148b456a.html — 命中「合肥市蜀山区耕云路158号安徽城市管理职业学院南门东侧」; https://ggzy.hefei.gov.cn/jyxx/002003/002003001/20200914/0c982a7490f743f79453160fed8aecfe.html — 合肥公共资源交易：出租标的地址 安徽城市管理职业学院耕云路校区，项目地址仅「安徽省合肥市」，无区名; http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202605/t20260523_26618632.htm — 政府采购公告：采购单位地址 合肥市瑶海区淮海大道300号（主校区，非经开校区）; 360地图 POI「耕云路 地址：安徽省合肥市蜀山区」— 仅作线索,2026-09-12
PROFILE1842_0,4134013849,安徽审计职业学院,方兴校区,安徽省合肥市经济技术开发区方兴大道509号,安徽省,合肥市,RESOLVED,—,政府/教育系统官方,ggzy.hefei.gov.cn 全量检索 API（wd=安徽审计职业学院 / 方兴大道509号）→ 命中该招标公告; https://ggzy.hefei.gov.cn/jyxx/002001/002001002/20240715/9542aaec-c3f1-4a01-a2ad-a4d993da78c5.html → 逐字核到『地 址：合肥市蜀山区方兴大道509号』; https://sjt.ah.gov.cn/public/9912883/38941040.html（安徽省审计厅）→ 只写『经济技术开发区方兴大道509号』，无区名（作反证）,2026-09-12
PROFILE1832_1,4134013340,安徽工商职业学院,双凤校区,安徽省合肥市双凤经济开发区金宁路北16号,安徽省,合肥市,RESOLVED,—,政府/教育系统官方,ggzy.hefei.gov.cn 全量检索 API（wd=安徽工商职业学院 / 金宁路北16号）→ 命中该结果公告; https://ggzy.hefei.gov.cn/jyxx/002002/002002015/20251021/212c71b0-b256-4451-8491-30d8436f80b9.html → 逐字核到『地址：合肥市长丰县金宁路北16号』,2026-09-12
PROFILE1827_0,4134013062,安徽广播影视职业技术学院,办学地点（档案未命名）,安徽省合肥市新站区文忠路与学府路交口,安徽省,合肥市,RESOLVED,—,政府/教育系统官方,https://ggzy.hefei.gov.cn/jyxx/002002/002002001/20240711/92fc470b-1569-478f-89a0-8b2740cc53c8.html — 命中「地址：合肥市瑶海区文忠路2575号」及「本项目位于安徽省合肥市新站区文忠路与学府路交口」; http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202408/t20240803_22804814.htm — 中国政府采购网更正公告：采购单位地址 合肥市瑶海区文忠路2575号; http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202408/t20240816_22919899.htm — 同上，采购人地址 合肥市瑶海区文忠路2575号; http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202007/t20200721_14688100.htm — 2020年招标公告：地址 合肥市新站区文忠路与学府路交口（仅功能区，无区名）,2026-09-12
PROFILE68_0,4134010361,安徽理工大学,校本部,安徽省淮南市泰丰大街168号,安徽省,淮南市,RESOLVED,—,学校官网,"https://www.aust.edu.cn/xxgk/xxzc.htm → 命中，学校章程第三条含“田家庵区泰丰大街168号”; https://www.aust.edu.cn/index.htm → 页脚仅“安徽省淮南市泰丰大街168号”; https://www.aust.edu.cn/xxgk/xxjj.htm → 学校简介无区名; https://www.aust.edu.cn/search.jsp?wbtreeid=1001 → 站内搜索为JS渲染，无结果; so.toutiao.com 检索「田家庵区泰丰大街168号」「""安徽理工大学"" 田家庵区 泰丰大街」→ 仅第三方院校库(gaokao.cn)给出“本部校区泰丰大街168号”，无官方区名",2026-09-12
PROFILE1820_0,4134012814,安徽电子信息职业技术学院,办学地点（档案未命名）,安徽省蚌埠市大学园区曹山路1000号,安徽省,蚌埠市,RESOLVED,—,政府/教育系统官方,https://ggzy.hefei.gov.cn/jyxx/002002/002002001/20260518/a816b0c3-9081-4502-876d-5f7ae88e340b.html?biaoduanguid=37a341c9-458a-4a3b-80a6-7a8173149f1e （全国公共资源交易平台（安徽省·合肥市）安徽电子信息职业技术学院新能源汽车电力电子基础实训室项目公告：命中“蚌埠市龙子湖区曹山路1000号”）,2026-09-12
